"Neutral","RT gifsboobs FOLLOW ME😍
erora10012 JuggJim orgasmia752 TETASPERFECTAS HotGirls24 onlyhotgirlzz denmatai190 bestboobz httpt…"
"Neutral","🌸🍁🌸🍁🌸🍁

onedirection

💖💗CAN U FOLLOW ME AND MAKE MY DREAM COME TRUE💗💖
🍁🌸PLS GUYS🌸🍁
🌹❤ILYSM❤🌹

EMABiggestFans1D

🌸🍁🌸🍁🌸🍁4⃣1⃣"
"Neutral","BBallViness 1 assist for coach 😂 httpstcoscA8sbfCSd httptcoqGP14GlMqh"
"Positive","RT MissPatama101 BEST FEELING EVER❤😍 MyTagBOYFRIEND httptco64fVBquf3N"
"Negative","RT princesstheena im not gonna get any sleep tonight 😿"
"Positive","Hope he gets better😌💅💖"
"Positive","I cant wait for next weekend🙉"
"Positive","They the famous version of us cause I love them too 😂 RT JCouture8 I love me some Keri Hilson and Ciara 💕😭😍😍"
"Neutral","RT ItsTeeBitch When You Find That One There Will Be NO Second Guessing 👌💏💍💯"
"Positive","RT dBoydd Happy 16th Birthday amandaaboyd🎉🎊 finally a driver now lol 🚗😝 httptco7TcZ2oHdsZ httptcoU542kuxILc"
"Neutral","RT SCTop10PIays Jeremy Menezs back heel goal 😧 httptcoFDnFQ4AVIq"
"Positive","Hi Luke from 5SOS ☺
Can you follow me 
Pleasethis is my dream
You are perfect 💖  
I love you sunshine ☀ 
Luke5SOS 
x5034"
"Positive","Dont you want me baby is the new Jam 😎😂🎧"
"Neutral","JustDion0 😂 gtfo"
"Neutral","Why would you spam connor for a follow i mean no dont do it tweet him nice things 😏"
"Neutral","Im jus tryna make it🏈💯 thts all"
"Positive","RT BNasssttyyyy Everyone gets so offended 😂😂 we just support our team thats it😈😈"
"Negative","RT brikay I hate when a female act like their whole life just center around a nigga😒 Acting like your whole world fucked up over one pe…"
"Positive","JulianaBrittney haha thanks 😂"
"Neutral","RT LaPatriceTGBH Allergic😷 To The Hater Type👿❌✋"
"Positive","Heads up 🚨 
Sees this video 👇✌ 
Can you follow me NashHayes  love you guys  ❤
httptcoOMoKgZagzE NashvsHayes NashvsHayes xx23"
"Positive","RT OfficialBirdy Lovely day with my Poppa and Granny 💙 httptcoDfTszKQV4D"
"Neutral","RT sdm Fuck the nudes leak me some of their bank accounts numbers and pins 😂😂😂😩"
"Positive","JamesPhelps james youre mu hero please gibe me o fav or rt ıts my dream k will so happy ♥️"
"Positive","CheyLives2Sing Ooo u getting lucky today with the YouTubers 😊😊"
"Neutral","WeLoveRobDyrdek STOPWHITEPEOPLE2014 httptcol9pUfnwW4wwhy they always gotta ruin something 😒"
"Negative","drehypeMSU lol💁 lets go through Y phone and see how many number I have😴 bet its less then 10 And 3 of them would be my brothers"
"Neutral","Guy interrupts reporter with just pleasant things 😂  httpstco3iwq9ZcYJX"
"Negative","Sloppy head 😋"
"Negative","RT raeraergoky But the way you acting is stupiddd 🎤"
"Negative","RT Best0fInstagram The real MVP😂😭 httptcoNaQFSqE4Yb"
"Positive","Very pleased with my No Mo Romo shirtrivalmade Thank You so much 😁🏈"
"Negative","📲my fone dry as fuckk 😩😩"
"Positive","I like this emoji ➡😧"
"Negative","I honestly cant stand oomf 😴"
"Neutral","RT whit3visuaL Dont be mistaken we are all real men I can assure you  Lay

Please explain
HunHan
Chanyeol
KaiSoo

LMAO 😜😜😜😜"
"Negative","I have failed you Anakin I have failed you😢😢 everytime DarthVader StarWars youwerethechosenone theforce"
"Neutral","RT StriveForDaniel LISTENERS CHOICE AWARD

👉 Vote for Simpleng Tulad Mo by Daniel Padilla httptcoE8dLRc2QSt"
"Positive","Less than 2 hours to pack everything 💪💪💪"
"Positive","Thats good to know 👌"
"Positive","RT pygmani Done my hw 😏"
"Negative","My Job FUNNY Asl Talm Bout  DMONEY DMONEY Red Carpet Service  Outside Lot  😂😂😂They Embarrassing Me 😩😩"
"Positive","im not alone😊 pic — httpstco2me7EZM6qF"
"Positive","SheAintHer sometimes its good to cry instead of holding everything inside and having evil thoughts😶"
"Positive","RT AsiaEVOLV TimLarew had my uber driver turn on shoutout last night 🔥"
